1.5440 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
94.3827 	EXP 	fixation: autoDraw = False
94.3827 	EXP 	grating: autoDraw = False
94.3827 	EXP 	grating: ori = 0.0
94.3827 	EXP 	fixation: autoDraw = True
95.3829 	EXP 	fixation: autoDraw = False
95.3829 	EXP 	grating: autoDraw = True
95.6827 	EXP 	grating: autoDraw = False
96.0038 	EXP 	New trial (rep=49, index=0): None
96.0066 	DATA 	Keypress: up
96.0165 	EXP 	fixation: autoDraw = False
96.0165 	EXP 	grating: autoDraw = False
96.0165 	EXP 	grating: ori = -3.0
96.0165 	EXP 	fixation: autoDraw = True
97.0162 	EXP 	fixation: autoDraw = False
97.0162 	EXP 	grating: autoDraw = True
97.3164 	EXP 	grating: autoDraw = False
97.5536 	EXP 	New trial (rep=50, index=0): None
97.5565 	DATA 	Keypress: up
97.5663 	EXP 	fixation: autoDraw = False
97.5663 	EXP 	grating: autoDraw = False
97.5663 	EXP 	grating: ori = 0.0
97.5663 	EXP 	fixation: autoDraw = True
98.5663 	EXP 	fixation: autoDraw = False
98.5663 	EXP 	grating: autoDraw = True
98.8660 	EXP 	grating: autoDraw = False
99.2361 	EXP 	New trial (rep=51, index=0): None
99.2389 	DATA 	Keypress: up
99.2507 	EXP 	fixation: autoDraw = False
99.2507 	EXP 	grating: autoDraw = False
99.2507 	EXP 	grating: ori = -4.0
99.2507 	EXP 	fixation: autoDraw = True
100.2504 	EXP 	fixation: autoDraw = False
100.2504 	EXP 	grating: autoDraw = True
100.5497 	EXP 	grating: autoDraw = False
100.9211 	EXP 	New trial (rep=52, index=0): None
100.9239 	DATA 	Keypress: down
100.9331 	EXP 	fixation: autoDraw = False
100.9331 	EXP 	grating: autoDraw = False
100.9331 	EXP 	grating: ori = 0.0
100.9331 	EXP 	fixation: autoDraw = True
101.9329 	EXP 	fixation: autoDraw = False
101.9329 	EXP 	grating: autoDraw = True
102.2330 	EXP 	grating: autoDraw = False
102.7017 	EXP 	New trial (rep=53, index=0): None
102.7044 	DATA 	Keypress: up
102.7165 	EXP 	fixation: autoDraw = False
102.7165 	EXP 	grating: autoDraw = False
102.7165 	EXP 	grating: ori = 0.0
102.7165 	EXP 	fixation: autoDraw = True
103.6997 	EXP 	grating: autoDraw = True
103.7166 	EXP 	fixation: autoDraw = False
103.9998 	EXP 	grating: autoDraw = False
